total,Postcode
4,11220
0,11226
0,11226
0,11226
14,11226
4,11216
4,11233
3,11226
1,11208
0,11201
0,11238
0,11238
3,11238
2,11215
3,11238
0,11233
2,11215
0,11233
13,11233
0,11207
0,11207
6,11207
9,11235
3,11231
0,11211
0,11211
2,11211
0,11211
0,11211
1,11211
7,11206
0,11211
3,
0,11211
3,11211
0,11205
0,11205
1,11205
3,11233
0,11238
0,11238
0,11238
6,11238
0,11206
0,11206
3,11209
2,11206
1,11232
0,11385
0,11221
0,11221
5,11221
0,11221
0,11221
0,11221
8,11221
0,11231
0,11231
2,11231
0,11233
1,11201
0,11222
0,11231
0,11231
9,11231
0,11206
0,11206
0,10004
0,11206
0,11206
17,11206
4,11222
0,11233
0,11233
4,11233
1,11217
0,11215
0,11233
0,11233
2,11233
11,11212
1,11235
0,11221
0,11221
1,11221
4,11207
0,11205
0,11205
8,11205
0,11204
0,11206
0,11206
0,11206
21,11206
3,11208
0,11211
0,11211
5,11211
0,11215
2,11235
2,11205
0,11233
0,11233
16,11233
0,11238
0,11238
0,11238
0,11238
0,11221
0,11206
0,11221
4,11209
0,11221
12,11221
0,11231
0,11206
0,11206
1,11206
23,11225
4,11218
0,11236
0,11205
0,11205
5,11205
29,11236
0,11220
0,11206
42,11206
0,11208
0,11208
10,11208
0,11233
0,11233
0,11233
7,11233
1,11221
15,11234
9,11221
1,11249
16,11238
0,11237
0,11215
0,11215
17,11215
6,11224
8,11203
0,11226
0,11226
6,11226
2,11216
2,11220
3,11223
13,11204
3,11223
1,11230
3,11224
1,11214
2,11219
4,11221
2,11222
0,11221
0,11221
20,11221
1,11228
4,11205
0,11236
0,11236
2,11236
3,11236
0,11237
0,11205
0,11205
0,11205
6,11205
1,11210
1,11206
0,11204
0,11237
0,11215
0,11222
0,11222
0,11222
12,11222
0,11228
0,11214
0,11218
2,11219
0,11211
0,11203
0,11232
0,11232
0,11232
9,11232
7,11233
0,11216
0,11216
7,11216
5,11226
0,11231
0,11231
23,11231
8,11206
0,11206
0,11206
9,11206
16,11206
3,11207
0,11212
0,11212
6,11212
0,11207
0,11210
0,11210
3,11210
0,11229
4,11215
5,11233
2,11205
2,11207
2,11208
0,11219
2,11225
3,11237
0,11214
0,11219
9,11212
0,11207
0,11207
19,11207
0,11213
0,11213
0,11213
3,11213
1,11232
0,11209
7,11208
0,11232
0,11207
0,11207
0,11207
0,11203
3,11207
0,11212
0,11212
29,11212
6,11219
0,11204
11,11233
3,11218
0,11204
0,11204
9,11204
11,11203
0,11212
0,11212
0,11212
0,11212
1,11212
4,11212
0,11209
6,11214
4,11224
6,11212
0,11207
0,11207
5,11207
5,11233
2,11204
4,11210
2,11229
0,11235
0,11211
0,11206
0,11206
4,11206
0,11210
0,11210
4,11210
0,11210
0,11230
2,11214
2,11228
0,11208
0,11208
19,11208
10,11234
0,11228
0,11204
5,11229
0,11234
0,11235
0,11213
0,11213
4,11213
0,11236
0,11236
9,11236
1,11214
8,11207
0,11208
3,11223
0,11223
4,11230
0,11208
0,11208
0,11208
25,11208
0,11212
7,11220
0,11213
0,11213
4,11213
0,11234
0,11204
0,11204
9,11204
13,11208
0,11208
0,11235
0,11235
5,11235
0,11204
8,11204
5,11223
0,11228
0,11218
0,11203
0,11203
0,11203
33,11203
2,11236
16,11229
0,11203
0,11234
0,11204
0,11204
3,11204
5,11223
8,11217
3,11224
19,11210
0,11225
2,11236
0,11213
0,11213
0,11213
1,11203
0,11226
0,11226
0,11226
17,11226
1,11204
2,11226
0,11206
7,11234
0,11212
0,11212
4,11212
0,11235
0,11235
1,11229
3,11216
4,11206
0,11216
0,11216
0,11216
2,11357
12,11216
5,11228
0,11207
0,11207
0,11207
4,11201
6,11233
0,11212
0,11212
8,11212
0,11209
0,11205
0,11205
12,11205
1,11203
1,11210
0,11205
0,11205
1,11205
0,11233
0,11233
3,10473
8,11213
0,11233
32,11233
2,11236
0,11207
1,11221
0,11212
0,11212
0,11212
0,11212
11,11212
0,11236
0,11229
11,11229
0,11236
10,11214
6,11212
11,11203
5,11235
0,11201
2,11224
2,11213
1,11207
0,11221
0,11221
0,11221
14,11221
0,11207
0,11207
26,
0,11201
0,11201
0,11201
25,11201
0,11207
0,11207
16,11207
0,11206
0,11206
0,11206
0,11212
0,11212
0,11364
11,11212
3,11221
0,11208
10,11207
0,11208
0,11208
0,11208
33,11208
0,11224
0,11224
0,11224
16,11224
0,11206
0,11206
2,11206
0,11216
0,11216
10,11216
0,11201
0,11201
3,11201
0,11221
0,11221
3,11221
0,11221
0,11221
4,11221
0,11219
0,11234
0,11201
0,11201
11,11201
0,11220
0,11220
6,11220
0,11238
0,11238
5,11238
0,11217
3,11206
0,11225
0,11225
26,11225
0,11215
0,11221
0,11221
0,11221
9,11221
5,11212
0,11207
0,11207
0,11207
1,11224
0,11209
