year,borough,postcode,Lat,Lon,crimes
2013-14,BROOKLYN ,11220,40.649042,-74.012289,4
2013-14,BROOKLYN ,11226,40.656183,-73.951583,0
2013-14,BROOKLYN ,11226,40.656183,-73.951583,0
2013-14,BROOKLYN ,11226,40.656183,-73.951583,0
2013-14,BROOKLYN ,11226,40.656183,-73.951583,14
2013-14,BROOKLYN ,11216,40.682663,-73.955338,4
2013-14,BROOKLYN ,11233,40.685695,-73.922463,4
2013-14,BROOKLYN ,11226,40.64859,-73.957138,3
2013-14,BROOKLYN ,11208,40.689697,-73.873109,1
2013-14,BROOKLYN ,11201,40.70071,-73.993241,0
2013-14,BROOKLYN ,11238,40.678297,-73.965541,0
2013-14,BROOKLYN ,11238,40.678297,-73.965541,0
2013-14,BROOKLYN ,11238,40.678297,-73.965541,3
2013-14,BROOKLYN ,11215,40.661061,-73.986534,2
2013-14,BROOKLYN ,11238,40.685491,-73.966291,3
2013-14,BROOKLYN ,11233,40.673073,-73.919594,0
2013-14,BROOKLYN ,11215,40.663251,-73.981289,2
2013-14,BROOKLYN ,11233,40.673073,-73.919594,0
2013-14,BROOKLYN ,11233,40.673073,-73.919594,13
2013-14,BROOKLYN ,11207,40.663673,-73.893754,0
2013-14,BROOKLYN ,11207,40.663673,-73.893754,0
2013-14,BROOKLYN ,11207,40.663673,-73.893754,6
2013-14,BROOKLYN ,11235,40.593521,-73.937672,9
2013-14,BROOKLYN ,11231,40.677343,-74.011558,3
2013-14,BROOKLYN ,11211,40.706023,-73.961476,0
2013-14,BROOKLYN ,11211,40.706023,-73.961476,0
2013-14,BROOKLYN ,11211,40.706023,-73.961476,2
2013-14,BROOKLYN ,11211,40.715351,-73.956716,0
2013-14,BROOKLYN ,11211,40.715351,-73.956716,0
2013-14,BROOKLYN ,11211,40.715351,-73.956716,1
2013-14,BROOKLYN ,11206,40.710609,-73.946977,7
2013-14,BROOKLYN ,11211,40.709647,-73.95465,0
2013-14,BROOKLYN ,11211,40.709647,-73.95465,0
2013-14,BROOKLYN ,11211,40.709647,-73.95465,3
2013-14,BROOKLYN ,11205,40.690765,-73.971376,0
2013-14,BROOKLYN ,11205,40.690765,-73.971376,0
2013-14,BROOKLYN ,11205,40.690765,-73.971376,1
2013-14,BROOKLYN ,11233,40.680727,-73.926597,3
2013-14,BROOKLYN ,11238,40.676774,-73.960058,0
2013-14,BROOKLYN ,11238,40.676774,-73.960058,0
2013-14,BROOKLYN ,11238,40.676774,-73.960058,0
2013-14,BROOKLYN ,11238,40.676774,-73.960058,6
2013-14,BROOKLYN ,11206,40.69407,-73.94756,0
2013-14,BROOKLYN ,11206,40.69407,-73.94756,0
2013-14,BROOKLYN ,11209,40.63402,-74.029036,3
2013-14,BROOKLYN ,11206,40.69407,-73.94756,2
2013-14,BROOKLYN ,11232,40.652701,-74.004743,1
2013-14,QUEENS   ,11385,40.699149,-73.903799,0
2013-14,BROOKLYN ,11221,40.691037,-73.941342,0
2013-14,BROOKLYN ,11221,40.691037,-73.941342,0
2013-14,BROOKLYN ,11221,40.691037,-73.941342,5
2013-14,BROOKLYN ,11221,40.692126,-73.931731,0
2013-14,BROOKLYN ,11221,40.692126,-73.931731,0
2013-14,BROOKLYN ,11221,40.692126,-73.931731,0
2013-14,BROOKLYN ,11221,40.692126,-73.931731,8
2013-14,BROOKLYN ,11231,40.677564,-74.005166,0
2013-14,BROOKLYN ,11231,40.677564,-74.005166,0
2013-14,BROOKLYN ,11231,40.677564,-74.005166,2
2013-14,BROOKLYN ,11233,40.678049,-73.92032,0
2013-14,BROOKLYN ,11201,40.686951,-73.99806,1
2013-14,BROOKLYN ,11222,40.726587,-73.95427,0
2013-14,BROOKLYN ,11231,40.680445,-73.991949,0
2013-14,BROOKLYN ,11231,40.680445,-73.991949,0
2013-14,BROOKLYN ,11231,40.680445,-73.991949,9
2013-14,BROOKLYN ,11206,40.697152,-73.946641,0
2013-14,BROOKLYN ,11206,40.697152,-73.946641,0
2013-14,MANHATTAN,10004,40.704487,-74.011556,0
2013-14,BROOKLYN ,11206,40.697152,-73.946641,0
2013-14,BROOKLYN ,11206,40.697152,-73.946641,0
2013-14,BROOKLYN ,11206,40.697152,-73.946641,17
2013-14,BROOKLYN ,11222,40.726135,-73.949649,4
2013-14,BROOKLYN ,11233,40.681896,-73.935963,0
2013-14,BROOKLYN ,11233,40.681896,-73.935963,0
2013-14,BROOKLYN ,11233,40.681896,-73.935963,4
2013-14,BROOKLYN ,11217,40.685264,-73.982639,1
2013-14,BROOKLYN ,11215,40.668916,-73.983195,0
2013-14,BROOKLYN ,11233,40.680463,-73.922264,0
2013-14,BROOKLYN ,11233,40.680463,-73.922264,0
2013-14,BROOKLYN ,11233,40.680463,-73.922264,2
2013-14,BROOKLYN ,11212,40.660306,-73.907355,11
2013-14,BROOKLYN ,11235,40.583125,-73.954037,1
2013-14,BROOKLYN ,11221,40.686592,-73.940747,0
2013-14,BROOKLYN ,11221,40.686592,-73.940747,0
2013-14,BROOKLYN ,11221,40.686592,-73.940747,1
2013-14,BROOKLYN ,11207,40.686746,-73.910693,4
