OBJECTID,PROVIDER,LAT,LON,LOCATION_T,BORONAME
998,LinkNYC - Citybridge,40.745968,-73.994039,Outdoor Kiosk,Manhattan
999,LinkNYC - Citybridge,40.744614,-73.985069,Outdoor Kiosk,Manhattan
1000,LinkNYC - Citybridge,40.757666,-73.985878,Outdoor Kiosk,Manhattan
1001,LinkNYC - Citybridge,40.759971,-73.984342,Outdoor Kiosk,Manhattan
1002,LinkNYC - Citybridge,40.760413,-73.984541,Outdoor Kiosk,Manhattan
1003,LinkNYC - Citybridge,40.762593,-73.983077,Outdoor Kiosk,Manhattan
1004,LinkNYC - Citybridge,40.760883,-73.984277,Outdoor Kiosk,Manhattan
1005,LinkNYC - Citybridge,40.760632,-73.984283,Outdoor Kiosk,Manhattan
1006,LinkNYC - Citybridge,40.752335,-73.979738,Outdoor Kiosk,Manhattan
1007,LinkNYC - Citybridge,40.750833,-73.976817,Outdoor Kiosk,Manhattan
1008,LinkNYC - Citybridge,40.749832,-73.98156,Outdoor Kiosk,Manhattan
1009,LinkNYC - Citybridge,40.749728,-73.99511,Outdoor Kiosk,Manhattan
1010,LinkNYC - Citybridge,40.758649,-73.975143,Outdoor Kiosk,Manhattan
1011,LinkNYC - Citybridge,40.760718,-73.984634,Outdoor Kiosk,Manhattan
1012,LinkNYC - Citybridge,40.762467,-73.972358,Outdoor Kiosk,Manhattan
1013,LinkNYC - Citybridge,40.760266,-73.984857,Outdoor Kiosk,Manhattan
1014,LinkNYC - Citybridge,40.760235,-73.984012,Outdoor Kiosk,Manhattan
1015,LinkNYC - Citybridge,40.761511,-73.972745,Outdoor Kiosk,Manhattan
1016,LinkNYC - Citybridge,40.760527,-73.983537,Outdoor Kiosk,Manhattan
26,ALTICEUSA,40.657452,-73.963991,Outdoor,Brooklyn
1017,LinkNYC - Citybridge,40.736112,-73.993427,Outdoor Kiosk,Manhattan
1018,LinkNYC - Citybridge,40.734148,-73.98874,Outdoor Kiosk,Manhattan
1019,LinkNYC - Citybridge,40.761142,-73.98309,Outdoor Kiosk,Manhattan
