date,positions
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
2-Oct-17,1
30-Sep-17,1
29-Sep-17,1
29-Sep-17,2
29-Sep-17,2
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,2
29-Sep-17,2
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,2
29-Sep-17,2
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,11
29-Sep-17,11
29-Sep-17,11
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,4
29-Sep-17,4
29-Sep-17,1
29-Sep-17,4
29-Sep-17,4
29-Sep-17,3
29-Sep-17,3
29-Sep-17,1
29-Sep-17,2
29-Sep-17,2
29-Sep-17,4
29-Sep-17,1
29-Sep-17,1
29-Sep-17,2
29-Sep-17,2
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
29-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,4
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,2
28-Sep-17,2
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,1
28-Sep-17,30
28-Sep-17,30
28-Sep-17,20
