Postcode,Latitude,Longitude,Total Crimes
11220,40.649042,-74.012289,4
11226,40.656183,-73.951583,0
11226,40.656183,-73.951583,0
11226,40.656183,-73.951583,0
11226,40.656183,-73.951583,14
11216,40.682663,-73.955338,4
11233,40.685695,-73.922463,4
11226,40.64859,-73.957138,3
11208,40.689697,-73.873109,1
11201,40.70071,-73.993241,0
11238,40.678297,-73.965541,0
11238,40.678297,-73.965541,0
11238,40.678297,-73.965541,3
11215,40.661061,-73.986534,2
11238,40.685491,-73.966291,3
11233,40.673073,-73.919594,0
11215,40.663251,-73.981289,2
11233,40.673073,-73.919594,0
11233,40.673073,-73.919594,13
11207,40.663673,-73.893754,0
11207,40.663673,-73.893754,0
11207,40.663673,-73.893754,6
11235,40.593521,-73.937672,9
11231,40.677343,-74.011558,3
11211,40.706023,-73.961476,0
11211,40.706023,-73.961476,0
11211,40.706023,-73.961476,2
11211,40.715351,-73.956716,0
11211,40.715351,-73.956716,0
11211,40.715351,-73.956716,1
11206,40.710609,-73.946977,7
11211,40.709647,-73.95465,0
11211,40.709647,-73.95465,0
11211,40.709647,-73.95465,3
11205,40.690765,-73.971376,0
11205,40.690765,-73.971376,0
11205,40.690765,-73.971376,1
11233,40.680727,-73.926597,3
11238,40.676774,-73.960058,0
11238,40.676774,-73.960058,0
11238,40.676774,-73.960058,0
11238,40.676774,-73.960058,6
11206,40.69407,-73.94756,0
11206,40.69407,-73.94756,0
11209,40.63402,-74.029036,3
11206,40.69407,-73.94756,2
11232,40.652701,-74.004743,1
11385,40.699149,-73.903799,0
11221,40.691037,-73.941342,0
11221,40.691037,-73.941342,0
11221,40.691037,-73.941342,5
11221,40.692126,-73.931731,0
11221,40.692126,-73.931731,0
11221,40.692126,-73.931731,0
11221,40.692126,-73.931731,8
11231,40.677564,-74.005166,0
11231,40.677564,-74.005166,0
11231,40.677564,-74.005166,2
11233,40.678049,-73.92032,0
11201,40.686951,-73.99806,1
11222,40.726587,-73.95427,0
11231,40.680445,-73.991949,0
11231,40.680445,-73.991949,0
11231,40.680445,-73.991949,9
11206,40.697152,-73.946641,0
11206,40.697152,-73.946641,0
10004,40.704487,-74.011556,0
11206,40.697152,-73.946641,0
11206,40.697152,-73.946641,0
11206,40.697152,-73.946641,17
11222,40.726135,-73.949649,4
11233,40.681896,-73.935963,0
11233,40.681896,-73.935963,0
11233,40.681896,-73.935963,4
11217,40.685264,-73.982639,1
11215,40.668916,-73.983195,0
11233,40.680463,-73.922264,0
11233,40.680463,-73.922264,0
11233,40.680463,-73.922264,2
11212,40.660306,-73.907355,11
11235,40.583125,-73.954037,1
11221,40.686592,-73.940747,0
11221,40.686592,-73.940747,0
11221,40.686592,-73.940747,1
11207,40.686746,-73.910693,4
11205,40.694633,-73.971165,0
11205,40.694633,-73.971165,0
11205,40.694633,-73.971165,8
11204,40.621871,-73.987396,0
11206,40.709941,-73.943641,0
11206,40.709941,-73.943641,0
11206,40.709941,-73.943641,0
11206,40.709941,-73.943641,21
11208,40.681268,-73.884063,3
11211,40.711704,-73.960275,0
11211,40.711704,-73.960275,0
11211,40.711704,-73.960275,5
11215,40.672015,-73.983947,0
11235,40.58792,-73.940532,2
11205,40.693018,-73.953034,2
11233,40.674103,-73.913273,0
11233,40.674103,-73.913273,0
11233,40.674103,-73.913273,16
11238,40.68505,-73.960659,0
11238,40.68505,-73.960659,0
11238,40.68505,-73.960659,0
11238,40.68505,-73.960659,0
11221,40.691274,-73.933697,0
11206,40.703624,-73.953146,0
11221,40.691274,-73.933697,0
11209,40.618415,-74.028842,4
11221,40.691274,-73.933697,0
11221,40.691274,-73.933697,12
11231,40.680149,-73.994938,0
11206,40.696733,-73.943652,0
11206,40.696733,-73.943652,0
11206,40.696733,-73.943652,1
11225,40.664007,-73.94922,23
11218,40.638686,-73.971651,4
11236,40.64883,-73.907774,0
11205,40.695633,-73.978215,0
11205,40.695633,-73.978215,0
11205,40.695633,-73.978215,5
11236,40.635553,-73.91079,29
11220,40.632379,-74.009223,0
11206,40.703624,-73.953146,0
11206,40.703624,-73.953146,42
11208,40.669387,-73.879614,0
11208,40.669387,-73.879614,0
11208,40.669387,-73.879614,10
11233,40.680318,-73.910644,0
11233,40.680318,-73.910644,0
11233,40.680318,-73.910644,0
11233,40.680318,-73.910644,7
11221,40.693313,-73.920666,1
11234,40.621224,-73.91287,15
11221,40.693161,-73.935765,9
11249,40.714785,-73.963,1
11238,40.682533,-73.968769,16
11237,40.700774,-73.91748,0
11215,40.660024,-73.987637,0
11215,40.660024,-73.987637,0
11215,40.660024,-73.987637,17
11224,40.578255,-73.979628,6
11203,40.661886,-73.93994,8
11226,40.656046,-73.953742,0
11226,40.656046,-73.953742,0
11226,40.656046,-73.953742,6
11216,40.679097,-73.94684,2
11220,40.64366,-74.008252,2
11223,40.595698,-73.97518,3
11204,40.60754,-73.984661,13
11223,40.601433,-73.986139,3
11230,40.621565,-73.965595,1
11224,40.57732,-73.971313,3
11214,40.597863,-73.991693,1
11219,40.632936,-74.00374,2
11221,40.693879,-73.913056,4
11222,40.723897,-73.942312,2
11221,40.70069,-73.927481,0
11221,40.70069,-73.927481,0
11221,40.70069,-73.927481,20
11228,40.61978,-74.000792,1
11205,40.688811,-73.971009,4
11236,40.642792,-73.908806,0
11236,40.642792,-73.908806,0
11236,40.642792,-73.908806,2
11236,40.635015,-73.897262,3
11237,40.697779,-73.916521,0
11205,40.692642,-73.958794,0
11205,40.692642,-73.958794,0
11205,40.692642,-73.958794,0
11205,40.692642,-73.958794,6
11210,40.625662,-73.938265,1
11206,40.700911,-73.938884,1
11204,40.623273,-73.978822,0
11237,40.703767,-73.922702,0
11215,40.667545,-73.991046,0
11222,40.719819,-73.948625,0
11222,40.719819,-73.948625,0
11222,40.719819,-73.948625,0
11222,40.719819,-73.948625,12
11228,40.624132,-74.018826,0
11214,40.604871,-73.995545,0
11218,40.648884,-73.975607,0
11219,40.641157,-73.993482,2
11211,40.71466,-73.946108,0
11203,40.65364,-73.933114,0
11232,40.651977,-74.006862,0
11232,40.651977,-74.006862,0
11232,40.651977,-74.006862,0
11232,40.651977,-74.006862,9
11233,40.682458,-73.917088,7
11216,40.67438,-73.951443,0
11216,40.67438,-73.951443,0
11216,40.67438,-73.951443,7
11226,40.641937,-73.965523,5
11231,40.68007,-74.001377,0
11231,40.68007,-74.001377,0
11231,40.68007,-74.001377,23
11206,40.701692,-73.932338,8
11206,40.705204,-73.939407,0
11206,40.705204,-73.939407,0
11206,40.705204,-73.939407,9
11206,40.698869,-73.945042,16
11207,40.669719,-73.892822,3
11212,40.66896,-73.904726,0
11212,40.66896,-73.904726,0
11212,40.66896,-73.904726,6
